source,fraction,time_s,pressure_sol,relaxed_sol,solid_sol,Fcontact_N,Ffilm_N,Ftotal_N,Ffeedback_N,field_residual_N,min_theta,max_pressure_Pa,min_hcalc_mm,mean_hcalc_mm,mean_Bfilm,min_gap_mm,max_solid_Tn_Pa,Fshear_N,mu_total
576n12_stage576_full_dynamic_recursive_checked.mph,0.100000000000,0.0417649923863,sol488,sol489,sol490,0.0253465242099,0,0.0253465242099,0,0,0.999981644464,370784.847170,0.003,0.003,0.304996548213,-6.30407657146e-05,387434.620995,0,0
576n12_stage576_full_dynamic_recursive_checked.mph,0.200000000000,0.0735299847726,sol668,sol669,sol670,0.0253465242099,0,0.0253465242099,0,0,0.999968636262,624909.668906,0.003,0.003,0.304996548213,-6.30407657146e-05,387434.620995,0,0
576n12_stage576_full_dynamic_recursive_checked.mph,0.300000000000,0.105294977159,sol848,sol849,sol850,0.0253465242099,0,0.0253465242099,0,0,0.999959455642,806825.811506,0.003,0.003,0.304996548213,-6.30407657146e-05,387434.620995,0,0
576n12_stage576_full_dynamic_recursive_checked.mph,0.400000000000,0.137059969545,sol1028,sol1029,sol1030,0.0253465242099,0,0.0253465242099,0,0,0.999953849985,919188.587736,0.003,0.003,0.304996548213,-6.30407657146e-05,387434.620995,0,0
576n12_stage576_full_dynamic_recursive_checked.mph,0.500000000000,0.168824961931,sol1208,sol1209,sol1210,0.0253465242099,0,0.0253465242099,0,0,0.999951947111,957416.509411,0.003,0.003,0.304996548213,-6.30407657146e-05,387434.620995,0,0
576n12_stage576_full_dynamic_recursive_checked.mph,0.600000000000,0.200589954318,sol1388,sol1389,sol1390,0.0253465242099,0,0.0253465242099,0,0,0.999953849919,919196.659825,0.003,0.003,0.304996548213,-6.30407657146e-05,387434.620995,0,0
576n12_stage576_full_dynamic_recursive_checked.mph,0.700000000000,0.232354946704,sol1568,sol1569,sol1570,0.0253465242099,0,0.0253465242099,0,0,0.999959455907,806820.369638,0.003,0.003,0.304996548213,-6.30407657146e-05,387434.620995,0,0
576n9_stage576_full_dynamic_recursive_resume168_checkpoint.mph,0.865000000000,0.284767184141,sol2755,sol2756,sol2757,0.0248944656046,0.00650252090179,0.0313969865063,0.00130045173190,9.55594465463e-06,0.999958166897,439334.064514,5.00000407924e-06,0.00481717016662,0.316309665068,-6.29653411685e-05,386971.078395,2.21680754008e-05,0.000706057423556
576n10_stage576_full_dynamic_recursive_resume174_checkpoint.mph,0.895000000000,0.294296681857,sol3412,sol3413,sol3414,0.0252544123322,0.00345660431170,0.0287110166439,0.000699256292131,9.91041218328e-06,0.999948925005,242777.404288,5.00000977594e-06,0.00561519524483,0.310273039534,-6.29938120776e-05,387146.054314,2.43062371360e-05,0.000846582252262
576n12_stage576_full_dynamic_recursive_checked.mph,1.00000000000,0.327649923863,sol4984,sol4985,sol4986,0.0253440421858,2.91827459255e-08,0.0253440713686,9.16934276724e-06,9.16350621805e-06,0.999999999712,1.84885233076,5.36540046266e-06,0.00591529241539,0.304989581288,-6.30397546955e-05,387428.407495,1.40407734588e-20,5.54006231044e-19
