dh_deplete,h_crit,K_asp_eff,mu_boundary,A_close_max,A_close_mean,A_close_over_Afilm_max,A_close_over_Afilm_mean,Fn_asp_max,Fn_asp_mean,Fn_asp_over_Fnref_max,Fn_asp_over_Fnref_mean,Ft_fluid_max,Ft_asp_max,Ft_total_max,mu_TFF_alt_max,mu_total_max,mu_total_mean,mu_total_forward_mean,mu_total_reverse_mean,theta_min,pfilm_max,PASS_FAIL,FAIL_REASON
2.000,0.500,30.000,0.050,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,AREA_FAIL;LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.000,0.500,30.000,0.100,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,AREA_FAIL;LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.000,0.500,30.000,0.150,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,AREA_FAIL;LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.000,0.500,100.000,0.050,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,AREA_FAIL;LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.000,0.500,100.000,0.100,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,AREA_FAIL;LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.000,0.500,100.000,0.150,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,AREA_FAIL;LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.000,1.000,30.000,0.050,3.98210120516e-06,3.12528030016e-06,0.0454726933520,0.0356884231229,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.000,1.000,30.000,0.100,3.98210120516e-06,3.12528030016e-06,0.0454726933520,0.0356884231229,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.000,1.000,30.000,0.150,3.98210120516e-06,3.12528030016e-06,0.0454726933520,0.0356884231229,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.000,1.000,100.000,0.050,3.98210120516e-06,3.12528030016e-06,0.0454726933520,0.0356884231229,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.000,1.000,100.000,0.100,3.98210120516e-06,3.12528030016e-06,0.0454726933520,0.0356884231229,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.000,1.000,100.000,0.150,3.98210120516e-06,3.12528030016e-06,0.0454726933520,0.0356884231229,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.500,0.500,30.000,0.050,3.97926714718e-06,3.11643486119e-06,0.0454403304756,0.0355874146571,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.500,0.500,30.000,0.100,3.97926714718e-06,3.11643486119e-06,0.0454403304756,0.0355874146571,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,LOAD_FAIL;COF_FAIL;SIGN_FAIL;
2.500,0.500,30.000,0.150,3.97926714718e-06,3.11643486119e-06,0.0454403304756,0.0355874146571,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.23313681838e-05,0.00000000000,6.23313681838e-05,0.00207771227279,0.00207771227279,0.000311884318289,0.00159840713123,0.00159840713123,0.100145674579,137336.440741,FAIL,LOAD_FAIL;COF_FAIL;SIGN_FAIL;
